CODIGO,MUNICIPIO,OBS_REGISTROS,AÑOS_PRESENTES,NOTA_PANEL,PROM_AUTONOMIA_FISCAL,PROM_DEPENDENCIA_FCM,PROM_TRANSFERENCIAS_SOBRE_INGRESOS,PROM_IMPUESTOS_SOBRE_INGRESOS,PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,PROM_DISPONIBILIDAD_PRESUP_X_HAB,PROM_IPPP,GRUPO_FIGEM_MODAL_2016_2024,CAMBIOS_GRUPO_FIGEM_2016_2024,GRUPO_FIGEM_2024,MONTO_FIGEM_PROM_2016_2024,MONTO_FIGEM_2024,NOTA_MATCH_FIGEM,LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,LOG_PROM_IPPP,CLUSTER_FINAL,Z_PROM_DEPENDENCIA_FCM,Z_PROM_TRANSFERENCIAS_SOBRE_INGRESOS,Z_PROM_GASTO_CORRIENTE_SOBRE_GASTO_TOTAL,Z_PROM_SERV_COMUNITARIOS_SOBRE_GASTO_TOTAL,Z_LOG_PROM_DISPONIBILIDAD_PRESUP_X_HAB,Z_LOG_PROM_IPPP,DISTANCIA_CENTROIDE,NOMBRE_CLUSTER
5504,LA CRUZ,9,9,OK,0.3147934882631949,0.4241595588415153,0.0554540397109668,0.1766084210211576,0.7810367693903012,0.165543459991052,225.5411111111111,70.81444444444445,2,0,2,43477481.33333334,141115357,,5.422926434462187,4.274085631927448,1,-0.22861951460505178,-0.993475907271298,0.05408067348821392,-0.7643066935918404,-0.8132064410331242,-0.29525371859718097,1.214565211431985,Dependencia fiscal intermedia y operación corriente alta
5506,NOGALES,9,9,OK,0.2732954725044759,0.4878828166265994,0.1108749699080433,0.1741846596398215,0.8300081592283424,0.2523847270144282,248.5433333333333,68.14111111111112,4,0,4,19462150.75,0,,5.51963258080555,4.236149504817216,1,0.1052873636354582,-0.5378667320831755,0.7021864336079052,-0.09638547216134913,-0.679200555689843,-0.3428472693470004,0.5941611212998921,Dependencia fiscal intermedia y operación corriente alta
5601,SAN ANTONIO,9,9,OK,0.3935038632450725,0.4093459460525326,0.1387280687136065,0.2598566844655126,0.8201073705597274,0.2804810741195084,234.8977777777778,92.07444444444444,2,0,2,99025111.29423118,129581002,,5.463398566181797,4.5333996508389465,1,-0.3062421499466918,-0.3088895689769283,0.5711556789758898,0.11971163373542082,-0.75712413346645,0.030074032528878258,0.9571325928649874,Dependencia fiscal intermedia y operación corriente alta
5602,ALGARROBO,8,8,REVISAR FALTANTES,0.6460069844278329,0.1477745843377089,0.04025139013213878,0.421266735314382,0.8080012826916749,0.09732820085147899,741.44625,469.6275,4,0,4,32016019.875,0,,6.60995047748414,6.154066910625042,2,-1.6768638014932031,-1.1184551634954973,0.41093916672764885,-1.2889699184206127,0.8316549646125181,2.063315571736936,2.2329423212312416,Mayor holgura fiscal y capacidad propia
5603,CARTAGENA,9,9,OK,0.1021777571737266,0.6910032200549738,0.09254220880369415,0.05073025882690483,0.8337082735066113,0.2435130423850294,614.2077777777778,61.16444444444445,2,0,2,78726875.78033492,130061928,,6.42196006079321,4.129783203574884,1,1.1696287387180913,-0.6885782797957761,0.7511551352269137,-0.16462015639527555,0.5711562974929052,-0.47629130651868434,1.4268396752204213,Dependencia fiscal intermedia y operación corriente alta
5604,EL QUISCO,9,9,OK,0.148559306712835,0.7813060680551863,0.03340657718230309,0.06846469835694065,0.8131491606713896,0.5166625963951144,949.2944444444444,140.5744444444445,3,0,3,120319431.7291189,125717703,,6.856771878093103,4.952825687884414,1,1.642811421462792,-1.1747255936615382,0.4790681167550121,1.9362518138225178,1.1736758346494172,0.5562736185307691,3.1190382317135077,Dependencia fiscal intermedia y operación corriente alta
5605,EL TABO,9,9,OK,0.1275991436089038,0.8102850678591635,0.02223872904082067,0.06281704109431019,0.7433663172724917,0.1320686437060243,954.2644444444444,119.81,2,0,2,0.0,0,,6.861988207326996,4.7942190635314725,3,1.7946600195321667,-1.266535205342062,-0.44446423374454214,-1.021771156590042,1.1809041116893053,0.3572904064736979,2.164930067928945,Alta disponibilidad por habitante y baja escala relativa
5606,SANTO DOMINGO,9,9,OK,0.7342932801029914,0.08376899464754753,0.03571615662711408,0.6705252731794027,0.6808157737395386,0.1533177037432227,1546.3,1120.934444444444,2,0,2,146190824.5083862,147362579,,7.344266755495627,7.022809656964325,2,-2.012250085657528,-1.1557388032532947,-1.2722816123485952,-0.8583385096380467,1.8491983853535865,3.153214703145226,2.289251184693018,Mayor holgura fiscal y capacidad propia
5701,SAN FELIPE,9,9,OK,0.347156585086525,0.4717794919736369,0.0674103391024288,0.2041330592132942,0.8624490831634534,0.3127931179774651,188.28,64.27888888888889,3,0,3,14673158.5,0,,5.243227400230077,4.17866868981383,1,0.020906698693642176,-0.8951845273779014,1.1315218013702837,0.36823287876415317,-1.062215724187742,-0.414961011428668,1.2732716125971755,Dependencia fiscal intermedia y operación corriente alta
5702,CATEMU,9,9,OK,0.2104698699993046,0.6145196965931268,0.1043784032574264,0.1416712698442232,0.8710900220129326,0.2975598460536843,264.3588888888889,57.87,4,0,4,11351079.375,90808635,,5.581083207446163,4.07533162304017,1,0.7688586675752752,-0.5912742689598909,1.245879230467369,0.25106939257301253,-0.5940483090204681,-0.5446046600156419,1.1186950424196618,Dependencia fiscal intermedia y operación corriente alta
